Time CPU_use RAM_filled Net_bytes_sent Net_bytes_received Temperature Disk_IO_percentage
14:43:53 27.6 611434496 88824039 561004983 59.4 0.00018690617134973708
14:43:54 27.0 619134976 88824039 561004983 58.913 0.0002803592570246056
14:43:55 27.0 625643520 88824039 561004983 59.887 0.0002803561130073438
14:43:57 26.9 622706688 88824039 561004983 58.426 0.0002803561130073438
14:43:58 27.0 624922624 88824081 561005043 59.4 0.0002803561130073438
14:43:59 27.1 627064832 88824081 561005043 60.374 0.0002803561130073438
14:44:00 26.4 631603200 88824081 561005043 60.374 0.0002803561130073438
14:44:01 27.0 632942592 88824509 561005161 60.374 0.00028035532701404636
14:44:02 27.1 634232832 88824509 561005161 59.887 0.00028035532701404636
14:44:03 26.9 636039168 88824509 561005161 60.374 0.00028035532701404636
14:44:04 26.9 639209472 88824509 561005161 60.861 0.00028035532701404636
14:44:05 27.1 643387392 88824509 561005161 60.374 0.00028035532701404636
14:44:06 27.0 645959680 88824509 561005161 61.348 0.00028035454102515606
14:44:07 27.0 644665344 88824509 561005161 61.348 0.00028035454102515606
14:44:09 26.2 645951488 88824509 561005161 60.374 0.00028035454102515606
14:44:10 26.6 648790016 88824509 561005161 61.348 0.00028035454102515606
14:44:11 27.1 653434880 88824509 561005161 60.861 0.00028035454102515606
14:44:12 27.2 652476416 88824509 561005161 61.348 0.0002803537550406729
14:44:13 26.7 656523264 88824509 561005161 61.835 0.0002803537550406729
14:44:15 26.4 656318464 88824693 561005345 61.348 0.0002803537550406729
14:44:16 26.5 660189184 88824693 561005345 62.322 0.0002803537550406729
14:44:17 26.8 664834048 88824693 561005345 61.348 0.0002803537550406729
14:44:18 27.0 668172288 88824693 561005345 61.835 0.0002803529690605968
14:44:19 26.9 666447872 88824693 561005345 62.322 0.0002803529690605968
14:44:20 27.1 667914240 88824693 561005345 61.348 0.0002803529690605968
14:44:22 26.6 669986816 88824693 561005345 61.835 0.0002803529690605968
14:44:23 26.6 672567296 88824693 561005345 61.835 0.0002803521830849277
14:44:24 27.2 676687872 88824763 561005415 61.835 0.0002803521830849277
14:44:25 26.7 679784448 88824763 561005415 62.322 0.00028034982518436213
14:44:26 27.3 682598400 88824763 561005415 61.348 0.00037379976691248286
14:44:27 26.9 680792064 88824763 561005415 62.322 0.00037379976691248286
14:44:29 26.6 682074112 88824763 561005415 61.835 0.0003737987189684277
14:44:30 26.7 683905024 88824763 561005475 61.835 0.0003737987189684277
14:44:31 26.9 688033792 88824763 561005475 62.322 0.0003737987189684277
14:44:32 27.2 691879936 88824763 561005475 61.835 0.0003737987189684277
14:44:33 26.9 688861184 88824763 561005475 61.835 0.0003737987189684277
14:44:34 26.6 691101696 88824763 561005475 61.348 0.0003737976710302483
14:44:35 26.5 693178368 88824763 561005475 62.322 0.0003737976710302483
14:44:37 26.4 694726656 88824763 561005475 63.296 0.0003737976710302483
14:44:38 27.3 699863040 88824763 561005475 62.322 0.0003737976710302483
14:44:39 27.0 702414848 88824763 561005475 63.296 0.0003737976710302483
14:44:40 27.2 699830272 88824763 561005475 62.809 0.0003737976710302483
14:44:41 26.4 701374464 88824763 561005475 63.296 0.00037379662309794463
14:44:43 26.5 704266240 88824763 561005475 62.322 0.00037379662309794463
14:44:44 27.2 710688768 88825131 561005703 63.783 0.00037379662309794463
14:44:45 27.1 712212480 88825131 561005703 62.809 0.00037379662309794463
14:44:46 26.9 709455872 88825131 561005703 62.322 0.00037379662309794463
14:44:47 27.0 709566464 88825131 561007092 62.322 0.0003737955751715167
14:44:48 26.4 710516736 88825131 561007092 62.809 0.0003737955751715167
14:44:50 27.0 712634368 88825173 561007152 62.809 0.0003737955751715167
14:44:51 27.1 716587008 88825173 561008675 63.783 0.0003737955751715167
14:44:52 27.1 722771968 88825173 561008675 63.296 0.0003737945272509644
14:44:53 26.7 722079744 88825173 561008675 62.809 0.0003737945272509644
14:44:54 26.8 723288064 88825243 561008745 63.296 0.0003737945272509644
14:44:56 26.7 724578304 88825243 561008745 62.809 0.0003737941779454193
14:44:57 26.9 725868544 88825243 561008945 63.296 0.00046724141254087637
14:44:58 26.7 731512832 88825243 561008945 64.757 0.0005606896950490516
14:44:59 27.2 732082176 88825243 561008945 64.27 0.0005606896950490516
14:45:00 26.9 733548544 88825243 561008945 63.296 0.0005606896950490516
14:45:01 26.7 732909568 88825799 561009063 63.783 0.0005606896950490516
14:45:03 26.6 736317440 88825799 561009063 64.27 0.0005606881231887876
14:45:04 26.8 741703680 88825799 561009063 63.296 0.0005606881231887876
14:45:05 26.8 738938880 88825799 561009263 63.296 0.0005606881231887876
14:45:06 26.5 743714816 88825799 561009263 62.809 0.0005606881231887876
14:45:08 26.2 744407040 88825799 561009263 62.809 0.0005606881231887876
14:45:09 27.0 749015040 88825799 561009263 64.27 0.0005606865513373367
14:45:10 26.9 774303744 88825799 561009263 63.783 0.0005606865513373367
14:45:11 28.6 1117945856 88825799 561009423 64.757 0.0005606865513373367
14:45:12 28.5 1346060288 88825799 561009423 65.244 0.0005606865513373367
14:45:13 30.0 1179164672 88825799 561009423 63.296 0.0005606865513373367
14:45:14 29.9 1266057216 88825913 561009751 63.296 0.0005606865513373367
14:45:15 32.1 1239080960 88825983 561009821 64.757 0.000560684979494699
14:45:16 30.5 1230393344 88902019 561011689 64.27 0.000560684979494699
14:45:17 32.0 751374336 88976257 561013557 64.757 0.000560684979494699
14:45:18 23.8 751661056 89268675 561020915 64.27 0.000560684979494699
14:45:19 1.5 751575040 89268745 561021313 63.296 0.0005606834076608743
14:45:20 1.3 751566848 89268745 561021313 63.783 0.0005606834076608743
14:45:21 2.0 751861760 89268787 561021373 63.296 0.0005606834076608743
14:45:22 2.0 750292992 89268787 561021373 61.835 0.0005606834076608743
14:45:23 2.3 750260224 89268829 561021433 61.835 0.0005606834076608743
14:45:24 2.6 750260224 89268829 561021433 61.348 0.0005606834076608743
14:45:25 28.5 749740032 89273100 561222836 63.296 0.000841022753753794
14:45:26 27.9 749740032 89273100 561222836 62.322 0.000841022753753794
14:45:27 28.5 749740032 89273100 561222836 64.27 0.0009344679799290295
14:45:29 29.5 749813760 89273100 561222836 63.296 0.0009344679799290295
14:45:30 29.1 750845952 89273100 561222836 63.296 0.0009344679799290295
14:45:31 28.9 750837760 89273100 561222836 64.757 0.0009344531352479578
14:45:32 33.5 763740160 89273100 561222836 64.27 0.0009344531352479578
14:45:33 59.7 768135168 89273100 561222836 66.218 0.000934448769255047
14:45:34 57.1 769167360 89273100 561222836 65.244 0.000934448769255047
14:45:35 54.6 769167360 89273100 561222836 66.705 0.000934448769255047
14:45:36 40.8 769683456 89273100 561222836 65.731 0.0011213385231060562
